distance,intensity,jnd,userid
0,50,1.86102647,183_31
150,20,1.861701973,141_150
200,40,1.875388332,104_62
150,20,1.882989594,36_41
150,30,1.883486382,88_127
50,30,1.891846066,21_44
50,50,1.898081868,21_44
200,40,1.906518885,123_80
50,40,1.911518889,104_62
50,50,1.914073049,110_54
50,40,1.915566425,82_51
200,40,1.92575217,75_65
200,30,1.92968207,71_124
50,50,1.933801025,71_124
200,20,1.936383385,36_41
100,40,1.948994545,110_54
150,20,1.953446669,21_44
150,50,1.955825409,123_80
150,10,1.956763366,150_110
50,40,1.963824736,36_41
200,20,1.968706826,123_80
200,20,1.973545396,82_51
50,40,1.976728959,126_82
200,50,1.977921339,91_78
200,20,1.99928361,91_78
150,20,2.004749401,31_105
100,20,2.010019213,125_121
100,40,2.022129731,21_44
100,10,2.032256703,105_135
50,30,2.046064317,126_82
50,10,2.049197235,6_70
200,20,2.049283018,68_72
0,30,2.058444086,105_135
100,30,2.07351101,91_78
200,50,2.074129556,71_124
150,40,2.089126998,183_31
200,40,2.100073535,88_127
150,30,2.101759816,141_150
150,30,2.10822556,91_78
50,40,2.109911461,150_110
0,40,2.116357238,105_135
200,40,2.129472658,68_72
100,40,2.132316189,104_62
150,50,2.137341803,31_105
200,20,2.141608798,71_124
150,30,2.159199322,104_62
100,40,2.161524562,36_41
100,30,2.162352888,125_121
50,50,2.165541686,126_82
0,30,2.17779197,31_105
50,40,2.198452577,105_135
50,50,2.202079708,31_105
200,30,2.203944686,104_62
50,20,2.211926649,150_110
200,20,2.218691475,125_121
100,40,2.2287414,150_110
100,30,2.239580816,82_51
100,50,2.245231077,141_150
200,40,2.253537153,71_124
100,40,2.256850556,125_121
150,30,2.258372814,125_121
0,40,2.264752733,126_82
100,30,2.266680251,36_41
0,30,2.270544895,6_70
150,50,2.278869579,141_150
150,50,2.281705227,91_78
50,50,2.287834496,82_51
0,40,2.289485144,150_110
200,20,2.294053388,21_44
200,40,2.300067822,178_29
150,10,2.307288894,6_70
150,40,2.327383173,88_127
150,50,2.328455501,77_104
200,10,2.354496468,150_110
100,20,2.358177768,126_82
100,30,2.370971084,21_44
150,50,2.377625722,125_121
150,30,2.392874824,21_44
0,50,2.396401539,36_41
0,50,2.401111261,105_135
0,50,2.403689653,82_51
150,30,2.415015338,36_41
100,50,2.432865172,126_82
150,40,2.444511895,141_150
50,50,2.451185713,141_150
0,40,2.458894671,21_44
50,30,2.475443438,150_110
0,50,2.48660346,150_110
150,50,2.493200988,82_51
150,50,2.501438054,104_62
200,40,2.508380505,141_150
50,50,2.518021101,150_110
150,40,2.524041689,150_110
150,50,2.527758559,88_127
100,30,2.528295693,150_110
150,30,2.529268756,150_110
200,40,2.538903371,105_135
150,40,2.557529104,21_44
200,20,2.567381861,31_105
100,20,2.574038688,150_110
200,30,2.574321882,21_44
200,30,2.581667782,150_110
50,40,2.589726387,125_121
100,50,2.603095386,125_121
150,30,2.610760908,82_51
0,40,2.618303442,36_41
150,40,2.652899771,31_105
200,40,2.669672075,21_44
100,40,2.679203144,82_51
200,10,2.717444759,21_44
50,30,2.720642754,6_70
0,40,2.736679934,82_51
50,50,2.764752058,105_135
200,40,2.780832008,31_105
150,20,2.791348413,126_82
200,30,2.893892546,36_41
150,30,2.898068221,31_105
50,30,2.928638834,36_41
200,30,2.93999748,125_121
150,50,2.943152053,126_82
100,50,2.946305233,82_51
150,20,2.961123097,6_70
200,10,2.978866267,105_135
100,50,2.980370998,21_44
200,20,3.006906033,126_82
200,40,3.019387575,36_41
200,10,3.024380646,6_70
150,40,3.03270182,105_135
200,50,3.080687379,125_121
200,30,3.089605355,82_51
100,30,3.101600239,126_82
100,20,3.111952981,105_135
150,40,3.116591794,6_70
50,50,3.171379128,6_70
200,30,3.172512435,141_150
200,50,3.180734346,31_105
