distance,intensity,jnd,userid
261,200,3.177916591,83_55
261,250,3.186007124,80_74
261,200,3.220154772,61_52
345,200,3.224634729,135_83
177,100,3.228310439,61_52
261,250,3.240617423,61_52
345,250,3.242824503,23_177
261,200,3.252839417,79_125
177,200,3.262461865,83_55
261,50,3.291971085,191_33
177,50,3.307234423,148_108
345,50,3.327982644,97_60
261,50,3.334593972,59_69
177,50,3.346870542,120_73
177,150,3.386708182,61_52
177,100,3.386862047,79_125
345,150,3.391414795,79_125
93,250,3.391830786,148_108
345,150,3.416340069,61_52
261,100,3.427316747,191_33
261,250,3.433026898,34_39
345,100,3.437247289,89_94
177,250,3.444883103,79_125
261,250,3.465519909,83_55
177,150,3.469593652,74_102
93,100,3.478249652,130_90
261,150,3.490277947,61_52
93,150,3.500047505,130_90
177,100,3.523023897,80_74
93,100,3.531713725,148_108
345,200,3.547698681,63_137
177,100,3.553757128,100_119
93,250,3.55393209,120_73
93,100,3.558696703,19_42
345,50,3.566478594,148_108
261,200,3.585361024,97_60
177,150,3.588093832,59_69
345,200,3.630705377,89_94
177,150,3.655403417,34_39
93,200,3.659841442,102_133
345,50,3.664937531,80_74
177,150,3.69133275,148_108
261,100,3.704030081,79_125
93,50,3.705960319,130_90
345,100,3.710634232,79_125
93,100,3.712742449,18_66
345,200,3.715169812,23_177
261,150,3.724426602,34_39
261,50,3.737851164,34_39
93,250,3.738816987,130_90
261,100,3.757400301,97_60
345,200,3.781656954,34_39
345,200,3.830633654,61_52
177,250,3.848159893,191_33
345,250,3.848160199,79_125
177,150,3.869778718,19_42
261,200,3.872843329,191_33
177,100,3.879189473,3_67
261,250,3.886025823,74_102
177,100,3.89099838,34_39
261,150,3.895588063,62_116
93,200,3.898970579,18_66
345,150,3.919856887,74_102
261,250,3.921866184,97_60
345,100,3.923824377,191_33
261,100,3.932503897,83_55
261,50,3.968943371,83_55
177,200,4.001428869,191_33
177,100,4.019611105,59_69
261,150,4.023654878,74_102
345,100,4.037273271,62_116
93,100,4.050673426,59_69
261,50,4.063863764,19_42
177,50,4.068357786,18_66
177,250,4.105122363,80_74
177,50,4.172788942,34_39
93,100,4.214311762,120_73
261,100,4.234278672,74_102
177,250,4.235106823,19_42
345,250,4.246366356,34_39
345,150,4.251227118,97_60
261,100,4.298080833,19_42
345,150,4.298851004,80_74
177,200,4.372289475,148_108
93,150,4.38422982,18_66
345,150,4.393670507,83_55
345,50,4.446981347,19_42
261,150,4.50449499,191_33
261,250,4.526262618,191_33
177,250,4.561974908,59_69
177,50,4.577749232,191_33
177,250,4.580035269,62_116
177,250,4.59540714,130_90
345,150,4.615039032,19_42
261,200,4.622604066,19_42
345,250,4.626138264,80_74
345,200,4.65503516,79_125
93,100,4.659573024,102_133
345,50,4.663359095,59_69
177,150,4.752676967,191_33
345,250,4.772955631,191_33
177,50,4.782404916,102_133
345,50,4.796638257,130_90
345,150,4.821218016,62_116
261,50,4.836307537,130_90
345,250,4.857632083,97_60
93,150,4.859300094,100_119
93,200,4.862810298,100_119
345,100,4.879233959,97_60
9,200,4.887044268,3_67
177,150,4.899889342,130_90
261,100,4.913071235,59_69
261,100,4.974234405,3_67
177,150,5.007722723,80_74
93,50,5.027794965,3_67
177,200,5.063592739,3_67
261,250,5.090388373,62_116
261,250,5.141097703,79_125
345,100,5.144242426,61_52
261,200,5.14877836,59_69
177,200,5.177155482,130_90
345,250,5.234646321,61_52
177,250,5.236236598,148_108
261,100,5.273110656,62_116
177,200,5.314575021,59_69
